unique_key,cas_number,smiles,is_complex_mixture,match_method,mw,xlogp
E1102,45009-62-9,C(C1C(C(C(C(O1)O)O)O)O)O,False,Match (Glucose oxidase),180.16,-2.6
E1103,43088-42-2,CCOC(=O)C1=C(SC=C1C)N,False,Match (E1103),185.25,2.4
E1104,4815-32-1,CCOC(=O)C1=C(SC(=C1)C)N,False,Match (E1104),185.25,2.4
E1105,12650-88-3,CCC(C)C(C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C5CCCN5C(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=N)N)N,False,Match (Lysozyme),2235.6,-7.4
E111,Unknown,,True,No Match,,
E120,1260-17-9,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,False,Match (E120),492.4,0.5
E1200,Unknown,,True,No Match,,
E1201,13720-94-0,CCOC(=O)C1=C(C2=CC=CC=C2N=C1)Cl,False,Match (E1201),235.66,3.0
E1202,128073-16-5,CCOC(=O)C1=C(C=C(C=N1)C(F)(F)F)Cl,False,Match (E1202),253.6,2.9
E1203,Unknown,,True,No Match,,
E1204,480438-58-2,B(C1=C(C=C(C=C1)F)OCC)(O)O,False,Match (E1204),183.97,
E1205,850589-53-6,B(C1=CC(=CC(=C1)F)OCC)(O)O,False,Match (E1205),183.97,
E1206,Unknown,,True,No Match,,
E1207,874288-38-7,B(C1=CC(=C(C=C1)C(=O)OCC)F)(O)O,False,Match (E1207),211.98,
E1208,118133-15-6,CCOC(=O)N1CCC(CC1)C(=O)O,False,Match (E1208),201.22,0.5
E1209,874219-60-0,B(C1=C(C=CC(=C1)C(=O)OCC)F)(O)O,False,Match (E1209),211.98,
E121,6358-53-8,COC1=CC(=C(C=C1)OC)N=NC2=C(C=CC3=CC=CC=C32)O,False,Match (Citrus Red 2),308.3,4.5
E1210,936339-60-5,C1=CC=NC(=C1)OCC2=CC=C(C=C2)CC3=NOC(=C3)C4=C(N=CC=C4)N,False,Match (E1210),358.4,3.3
E122,13613-55-3,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)O)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)O)O,False,Match (E122),458.5,3.3
E123,915-67-3,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],False,Match (E123),604.5,
E124,7244-14-6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)O)N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)O)S(=O)(=O)O)O,False,Match (E124),538.5,2.1
E125,4548-53-2,CC1=CC(=C(C=C1N=NC2=C(C3=CC=CC=C3C(=C2)S(=O)(=O)[O-])O)S(=O)(=O)[O-])C.[Na+].[Na+],False,Match (Ponceau SX),480.4,
E126,Unknown,C1=CC=C2C(=C1)C(=CC(=C2N=NC3=C(C(=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])O)O)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],False,Match (E126),722.5,
E127,16423-68-0,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I,False,Match (E127),835.9,6.0
E128,25317-20-8,CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)O)C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)O,False,Match (E128),465.5,1.8
E129,25956-17-6,CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],False,Match (E129),496.4,
E130,81-77-6,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C4=C(C=C3)NC5=C(N4)C=CC6=C5C(=O)C7=CC=CC=C7C6=O,False,Match (Indanthrene blue RS),442.4,4.9
E131,3536-49-0,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Ca+2],False,Match (E131),1159.4,
E132,482-89-3,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,False,Match (Indigotin),262.26,2.7
E133,78642-64-5,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)/C(=C/3\C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)O)C=C3C)/C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C,False,Match (E133),832.0,8.1
E140,Unknown,,True,No Match,,
E1400,13731-98-1,CCO[Si](C)(C)CCCOC(=O)C(=C)C,False,Match (E1400),230.38,
E1401,Unknown,,True,No Match,,
E1402,Unknown,,True,No Match,,
E1403,73232-07-2,CCOC(=O)C(C)SC(=S)OCC,False,Match (E1403),222.3,2.7
E1404,Unknown,,True,No Match,,
E1405,326925-69-3,CCC1(CCCC1)OC(=O)C=C,False,Match (E1405),168.23,2.7
E140I,1406-65-1,CCC\1=C(C\2=[NH+]/C1=C\C3=C(C4=C([C@@H](C(=C4[N-]3)C5=[NH+]C(=C([C@@H]5CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)/C=C\6/C(=C(/C(=C2)/[N-]6)C=C)C)C(=O)OC)O)C)C.[Mg+2],False,Match (Chlorophyll),895.5,
E140II,Unknown,,True,No Match,,
E141,Unknown,,True,No Match,,
E1410,52670-38-9,C#CC1=CC=CC=C1N,False,Match (E1410),117.15,1.5
E1411,Unknown,,True,No Match,,
E1412,129808-00-0,C1=CC2=C(C=C1C#CC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,False,Match (E1412),318.2,2.7
E1413,Unknown,,True,No Match,,
E1414,160844-75-7,CCOC(=O)C1=C(N=C(S1)C2=CC(=C(C=C2)OCC(C)C)C#N)C,False,Match (E1414),344.4,4.6
E141I,Unknown,,True,No Match,,
E141II,Unknown,,True,No Match,,
E142,3087-16-9,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],False,Match (Green s),576.6,
E1420,9045-28-7,CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)OC(=O)C)O)O)O)O,False,Match (Acetylated starch),734.7,-7.0
E1421,10401-11-3,C#CC1=CC(=CC=C1)O,False,Match (E1421),118.13,1.8
E1422,106185-75-5,CC/C(=C\CC1CC=C(C1(C)C)C)/CO,False,Match (E1422),208.34,3.6
E1423,84793-24-8,CCOC(=O)[C@H](CCC1=CC=CC=C1)N2[C@H](C(=O)OC2=O)C,False,Match (E1423),305.32,2.7
E143,2353-45-9,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=C(C=C(C=C5)O)S(=O)(=O)[O-].[Na+].[Na+],False,Match (Fast Green FCF),808.9,
E1430,53721-12-3,CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC.[Br-].[Br-],False,Match (E1430),374.11,
E1440,815574-81-3,CCN.C(=O)(C(F)(F)F)O,False,Match (E1440),159.11,
E1441,157057-20-0,CCOC(C)OC1=CC=C(C=C1)C=C,False,Match (E1441),192.25,3.4
E1442,Unknown,,True,No Match,,
E1443,161973-10-0,CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[Mg+2],False,Match (E1443),713.1,
E1450,50479-11-3,CCOC(=O)CCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],False,Match (E1450),457.3,
E1451,158932-33-3,COC1=C(C=CC(=C1)C[C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H](CC3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,False,Match (E1451),686.7,-0.7
E1452,Unknown,,True,No Match,,
E14XX,Unknown,,True,No Match,,
E150,13494-07-0,CC1CC(C(=O)C1=O)C,False,Match (Caramel),126.15,0.7
E1503,Unknown,,True,No Match,,
E1504,141-78-6,CCOC(=O)C,False,Match (E1504),88.11,0.7
E1505,77-93-0,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,False,Match (E1505),276.28,0.1
E150A,Unknown,,True,No Match,,
E150B,Unknown,,True,No Match,,
E150C,Unknown,,True,No Match,,
E150D,Unknown,,True,No Match,,
E151,13699-36-0,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)O)C=C(C(=C2O)N=NC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,False,Match (E151),779.8,2.3
E1510,64-17-5,CCO,False,Match (E1510),46.07,-0.1
E1517,102-62-5,CC(=O)OCC(CO)OC(=O)C,False,Match (Glyceryl diacetate),176.17,-0.3
