product_name,categories_tags,countries_en,ingredients_text,additives_tags
"Strawberry swirl ice cream, strawberry swirl","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cream, strawberry swirl (high fructose corn syrup, water, modified corn starch, strawberry puree, citric acid, natural and artificial flavors, sodium benzoate and potassium sorbate [preservatives], locust bean gum, xanthan gum, red 40), corn sy","en:e129,en:e202,en:e211,en:e330,en:e410,en:e415"
"Vanilla ice cream with chocolate flavored wafers sandwiches, chocolate","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Wafer: bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, corn syrup, baking soda, modified cornstarch, salt, mono-and diglycerides, soy lecithin. ice cream: milk, cream sugar, skim milk solids, corn syrup, whey, stabilizer (mono - and diglycerides, guar gum, cellulose gum and carrageenan), vanilla, vegetable annatto color.","en:e150c,en:e322,en:e322i,en:e407,en:e412,en:e466,en:e471,en:e500,en:e500ii"
"Vanilla ice cream bars, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Ice cream: milk, nonfat milk solids, sugar, cream, corn syrup, high fructose corn syrup, whey, stabilized and emulsified by mono-and diglycerides, guar gum, cellulose gum and carrageenan, natural and artificial flavor, vegetable annatto color. coating: sugar, coconut oil, partially hydrogenated soybean oil, alkalized cocoa, milk, whey, cocoa butter, cocoa, soybean oil, hydrogenated palm oil, palm kernel oil, soy lecithin, natural and artificial flavor.","en:e322,en:e322i,en:e407,en:e412,en:e466,en:e471"
"Vanilla and chocolate ice cream swirl cups, vanilla - chocolate","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, corn syrup, skim milk solids, whey, cocoa (processed with alkali), natural and artificial flavor, stabilizer (mono-and diglycerides, guar gum, cellulose gum and carrageenan), vegetable annatto color.","en:e407,en:e412,en:e466,en:e471"
"Sundae vanilla ice cream in a sugar cone topped with chocolate coating and peanuts, sundae","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Ice cream: cream, milk, sugar, nonfat milk solids, corn syrup, whey, stabilized and emulsified by mono-and diglycerides, guar gum, cellulose gum and carrageenan, vanilla. sugar cone: bleached wheat flour, sugar, soybean and/or palm oil, soy lecithin, salt, caramel color. chocolate coating: peanuts, sugar, coconut oil, soybean oil, cocoa, whey, milk, cocoa (processed with alkali), soy lecithin, vanilla. peanuts: dry roasted peanuts","en:e150c,en:e322,en:e322i,en:e407,en:e412,en:e466,en:e471"
"Cherry, grape & orange jr. pops, cherry, grape & orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar, corn syrup, high fructose corn syrup, citric acid, guar gum, artificial flavor (cherry and grape) natural orange flavor, artificial colors (blue 1, red 40, and yellow 6), sodium benzoate.","en:e110,en:e129,en:e133,en:e211,en:e330,en:e412"
"Orange dream bar orange sherbet and vanilla ice cream swirl cups, orange dream bar","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milkfat and nonfat milk, sugar, corn syrup, high fructose corn syrup, whey, orange puree (water, corn syrup, concentrated orange juice, natural flavor, pectin, yellow 6), natural and artificial flavors, citric acid, stabilized and emulsified by mono-and diglycerides, guar gum, cellulose gum, carob bean gum, carrageenan and pectin, vegetable annatto color, red 40 and blue 1.","en:e110,en:e129,en:e133,en:e330,en:e407,en:e410,en:e412,en:e440,en:e466,en:e471"
"Blue raspberry, lemon cherry artificial and natural flavors added artificial colors added, blue raspberry, lemon and cherry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar, corn syrup, citric acid, guar gum, artificial flavor (cherry, blue raspberry) natural lemon flavor, artificial colors (blue 1, red 40), sodium benzoate.","en:e129,en:e133,en:e211,en:e330,en:e412"
"Chocolate fudge fat free ice cream bars, chocolate fudge","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk and skim milk solids*, whey, sugar, high fructose corn syrup, corn syrup, alkalized cocoa, guar gum.",en:e412
"Orange dream bars, orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar, corn syrup, cream, nonfat dry milk, orange puree (water, concentrated orange juice, citric acid, natural flavor, orange pulp, yellow 6), stabilizer (mono - and diglycerides, guar gum, carob bean gum, pectin), natural and artificial flavor, milk, skim milk solids, whey, stabilizer (mono - and diglycerides, guar gum, cellulose gum and carrageenan), citric acid.","en:e110,en:e330,en:e407,en:e410,en:e412,en:e440,en:e466,en:e471"
"Coconut fruit bars, coconut","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cane sugar, coconut flakes, coconut cream, maltodextrin, whey, natural stabilizers (guar gum, xanthan gum, dextrose).","en:e412,en:e415"
"Caribbean mix fruit bars, caribbean mix","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Strawberries, pineapple, mango, passion fruit, coconut flakes, water, cane sugar, natural stabilizers (guar gum, carob bean gum, carrageenan), citric acid.","en:e330,en:e407,en:e410,en:e412"
"Pineapple fruit bars, pineapple","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Pineapple, water, cane sugar, natural stabilizers (guar gum, carob bean gum, carrageenan), citric acid, annato, turmeric.","en:e330,en:e407,en:e410,en:e412"
"Strawberry Fruit Bars, Strawberry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Strawberries, Water, Cane Sugar, Natural Stabilizers (Guar Gum, Carob Bean Gum, Carrageenan), Citric Acid.","en:e330,en:e407,en:e410,en:e412"
"Premium Ice Cream, Dark Chocolate Raspberry Truffle","en:desserts,en:frozen-foods,en:frozen-desserts","United States,World","Cream, Nonfat Milk, Raspberry Sauce (Corn Syrup, Raspberries, Sugar, Water, Cornstarch, Natural Flavors, Citric Acid, Xanthan Gum, Locust Bean Gum), High Fructose Corn Syrup, Sugar, Corn Syrup, Choco Flakes (Powdered Sugar [Sugar, Cornstarch], Coconut Oil, Cocoa [Processed With Alkali], Cocoa Butter Oil, Soy Lecithin And Natural Flavor), Cocoa (Processed With Alkali), Whey, Natural Flavor, Mono & Diglycerides, Guar Gum, Polysorbate 80 And Carrageenan.","en:e330,en:e407,en:e410,en:e412,en:e415,en:e433,en:e471"
